id,title,description,category,subcategory,location,severity,source,source_id,start_time,end_time,created_at,is_active
1765300529435,Landslide evacuation warning issued to several areas in four districts extended,The Level-3 (Red) landslide evacuation warning issued to multiple areas in four districts has been extended. MORE..,government,government_general,Sri Lanka,medium,news,news_1765300529,2025-12-09T22:45:29.435006,2025-12-10T22:45:29.435012,2025-12-09T22:45:29.438537,True
1765300529446,"Sri Lankas death toll from adverse weather continues to climb, 203 still missing","The death toll due to the adverse weather conditions experienced in the country over the past few days has climbed to 639, the Disaster Management Center (DMC) has confirmed. MORE..",government,government_general,Sri Lanka,high,news,news_1765300529,2025-12-09T22:45:29.446386,2025-12-10T22:45:29.446397,2025-12-09T22:45:29.446536,True
1765300529448,EU releases 1.8 million in emergency assistance for Sri Lanka,"The European Union has released 1.8 million in emergency assistance for Sri Lanka, in response to the devastating landslide and floods in recent days. MORE..",weather,floods,Sri Lanka,high,news,news_1765300529,2025-12-09T22:45:29.448494,2025-12-10T22:45:29.448502,2025-12-09T22:45:29.448586,True
1765300529453,"Fire breaks out at seven-storey building in Indonesias Jakarta, 20 dead","A fire broke out at a seven-storey building in Indonesias capital Jakarta on Tuesday, an official said on Tuesday, with 20 people confirmed dead. MORE..",government,government_general,Sri Lanka,medium,news,news_1765300529,2025-12-09T22:45:29.453501,2025-12-10T22:45:29.453505,2025-12-09T22:45:29.453563,True
1765300529455,Union calls for debt relief for teachers and principals in disaster-affected areas,The Ceylon Teachers Union (CTU) has urged the government to introduce an immediate concessional relief programme for teachers and principals affected by the recent disaster situation. MORE..,government,government_general,Sri Lanka,medium,news,news_1765300529,2025-12-09T22:45:29.455693,2025-12-10T22:45:29.455707,2025-12-09T22:45:29.455877,True
1765300529458,Another Indian relief aircraft arrives with bailey bridge and medical supplies,Another aircraft carrying a consignment of disaster relief humanitarian aid from India arrived at the Bandaranaike International Airport (BIA) this afternoon (09). MORE..,government,government_general,Sri Lanka,medium,news,news_1765300529,2025-12-09T22:45:29.458451,2025-12-10T22:45:29.458455,2025-12-09T22:45:29.458515,True
1765300529596,EU releases 1.8 million in emergency assistance for Sri Lanka,"The European Union has released 1.8 million in emergency assistance for Sri Lanka, in response to the devastating landslide and floods in recent days. MORE..",weather,floods,Sri Lanka,high,news,news_1765300529447,2025-12-09T22:45:29.596280,2025-12-10T22:45:29.596285,2025-12-09T22:45:29.596354,True
1765300529630,"Sri Lankas death toll from adverse weather continues to climb, 203 still missing","The death toll due to the adverse weather conditions experienced in the country over the past few days has climbed to 639, the Disaster Management Center (DMC) has confirmed. MORE..",government,government_general,Sri Lanka,high,news,news_1765300529445,2025-12-09T22:45:29.630215,2025-12-10T22:45:29.630220,2025-12-09T22:45:29.630274,True
1765300629725,Social Media Alert: Weather,"🚨 Moody’s warns cyclone will deal major blow to Sri Lanka’s fragile credit position

Moody’s Ratings has warned that the devastation caused by Cyclone Ditwah will have its most severe fiscal and credi",weather,cyclones,Colombo,high,twitter,tweet_1998441651136598234,2025-12-09T22:47:09.725784,2025-12-10T10:47:09.725810,2025-12-09T22:47:09.726143,True
1765300694077,Landslide evacuation warning issued to several areas in four districts extended,The Level-3 (Red) landslide evacuation warning issued to multiple areas in four districts has been extended. MORE..,government,government_general,Sri Lanka,medium,news,news_1765300694,2025-12-09T22:48:14.077554,2025-12-10T22:48:14.077558,2025-12-09T22:48:14.077642,True
